 rec_name,rec_instructions,cooking_time,serving_pax,cuisine,rec_type,ingredients,quantity,rec_photo
Honey Mustard Grilled Chicken  ,"Preheat the grill for medium heat.
In a shallow bowl, mix the mustard, honey, mayonnaise, and steak sauce. Set aside a small amount of the honey mustard sauce for basting, and dip the chicken into the remaining sauce to coat.
Lightly oil the grill grate. Grill chicken over indirect heat for 18 to 20 minutes, turning occasionally, or until juices run clear. Baste occasionally with the reserved sauce during the last 10 minutes. Watch carefully to prevent burning!",35,4,Western,Dinner,"Mustard,Honey,Mayonnaise,Steak Sauce,Chicken","78.9,59.1,29.6,4.9,400",https://images.media-allrecipes.com/userphotos/560x315/438013.jpg
Shrimp and Dill Deviled Eggs  ,"Place eggs in a medium saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool and peel.
Slice eggs in half lengthwise. Remove yolks. Set aside whites.
In a medium bowl, mash egg yolks with a fork. Mix together with mayonnaise, shrimp, green onions, fresh dill weed, lime juice, prepared Dijon-style mustard, hot pepper sauce and ground black pepper.
Spoon approximately 1 tablespoon egg yolk mixture into each egg white. Garnish with fresh dill weed. Chill in the refrigerator until serving.",50,4,Western,Snack,"Egg,Mayonnaise,Shrimp,Green Onion,Dill,Lime Juice,Mustard,Hot Pepper,Black Pepper","4,60,127.6,28.3,15,14.8,9.8,0.6,5",https://images.media-allrecipes.com/userphotos/250x250/430835.jpg
Chili Cheese Squares  ,"Preheat oven to 350 degrees F (175 degrees C).
In a 9x13 inch baking dish, place 1/2 of the shredded Cheddar cheese. Top with green chile peppers. Top the  chiles with the remaining cheese.
In a blender, mix eggs with the juice from the chile peppers. Pour the egg mixture over the cheese mixture.
Bake in the preheated oven 30 to 40 minutes. Cool before cutting into squares.",50,5,Mexican,Snack,"Cheddar,Chili Pepper,Egg","453.6,113.4,12",https://images.media-allrecipes.com/userphotos/560x315/1009327.jpg
Kecia's Broccoli Salad,"Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside to cool.  In a large bowl toss the broccoli florets, bacon, green onions, raisins and peanuts together.
In a small bowl whisk the vinegar, sugar and mayonnaise together. Pour half of the dressing over the broccoli mixture and refrigerate. Let marinate overnight. Just before serving top with remaining dressing.",810,4,Western,Brunch,"Broccoli,Bacon,Green Onion,Raisin,Peanut,Vinegar,White Sugar,Mayonnaise","225,453.6,100,128,128,44.4,100,100",https://images.media-allrecipes.com/userphotos/250x250/422820.jpg
Mexican Coffee  ,"Pour sugar and hot water into a coffee mug. Stir in the coffee and liqueur, and then spoon whipped cream gently on top of the coffee.",5,1,Mexican,Dessert,"Sugar,Water,Coffee,Liqueur,Cream","4,30,102,30,14.3",https://images.media-allrecipes.com/userphotos/560x315/2107174.jpg
Reuben Sandwich I  ,"Heat medium skillet over medium heat.  Butter bread on one side.  Place one slice of bread, buttered side down, in skillet.  Layer corned beef, sauerkraut and mozzarella on bread.  Top with remaining slice of bread.  Cook, turning once,  until bread is browned, sandwich is heated through and cheese is melted.  Serve immediately.",5,1,Western,Brunch,"Bread,Butter,Beef,Sauerkraut,Mozzarella","2,17.1,56.6,56.6,17",https://images.media-allrecipes.com/userphotos/250x250/225943.jpg
Strawberry Banana Blend  ,In a blender combine the bananas and strawberries. Blend on medium speed until smooth. Blend in the peaches and orange juice. Scoop in the sorbet. Blend until smooth.,30,4,Western,Dessert,"Banana,Strawberry,Peach,Orange Juice","2,15,64,78.9",https://images.media-allrecipes.com/userphotos/560x315/1043966.jpg
Hot Buttered Rum Batter  ,"Melt butter in a large pot over medium heat. Blend in brown sugar and confectioners'' sugar. Remove from heat, and whisk in the ice cream, cinnamon, and nutmeg. Pour mixture into a plastic container, seal, and freeze.
In a coffee mug, measure 1 tablespoon Hot Buttered Rum Batter and 1 fluid ounce of rum, then fill cup with boiling water. Stir, and sprinkle top of drink with nutmeg.",40,2,Western,Dessert,"Butter,Brown Sugar,Sugar,Ice Cream,Cinnamon,Nutmeg","453.6,453.6,453.6,946.4,17,4.9",https://images.media-allrecipes.com/userphotos/560x315/1123112.jpg
Jeera (Cumin) Rice  ,"Heat the oil in a medium size saucepan over a medium-high heat. Drop in the cumin seeds, and cook until they splutter. Do not allow the cumin seeds to burn or become really dark brown in color. Add the rice and fry it in the oil for about 1 minute.
Add the water and salt and bring to a boil. Once the water is boiling, reduce the heat to low and cover the saucepan. Cook the rice for approximately 15 minutes. If you feel the rice is getting burnt near the base of the pan as it cooks, one trick is to place the saucepan on another flat pan or griddle which is directly on the flame. Toss with a fork.",20,2,Indian,Dinner,"Vegetable Oil,Cumin,Rice,Water,Salt","29.6,2.5,128,414,1",https://images.media-allrecipes.com/userphotos/250x250/307084.jpg
Oven Fried Potatoes II  ,"Preheat oven to 425 degrees F (220 degrees C).  Line a baking sheet with aluminum foil and spray with vegetable cooking spray.
In a shallow bowl combine oil and lemon juice.  Dip potatoes in oil/lemon mixture and season with salt and pepper, to taste.  Place on baking sheet.
Bake in preheated oven for 20 minutes.  Remove from oven and turn wedges over.  Return to oven and continue cooking until crisp and brown on both sides, about 10 minutes more.",40,2,Western,Snack,"Vegetable Oil,Lemon Juice,Potato,Pepper","14.8,14.8,141.5,1",https://images.media-allrecipes.com/userphotos/560x315/2290256.jpg
