ingred_name,ingred_cat,ingred_unit
Ladyfingers,Fruits,g
Streusel,"Grain, nuts and baking products",g
Adobo Seasoning,Others,g
Almond,"Grain, nuts and baking products",g
Amaretto,Others,ml
Anchovy,"Meat, sausages and fish",g
Anise,Herbs and spices ,g
Apple,Fruits,g
Apple Juice,Fruits,ml
Applesauce,Others,g
Apricot,Fruits,g
Artichoke,Vegetables ,g
Artificial Sweetener,Others,ml
Arugula,Vegetables ,g
Asparagus,Vegetables ,g
Avocado,Fruits,whole
Bacon,"Meat, sausages and fish",g
Baking Mix,"Grain, nuts and baking products",g
Baking Powder,"Grain, nuts and baking products",g
Baking Soda,"Grain, nuts and baking products",g
Banana,Fruits,whole
Barbecue Sauce,Others,ml
Barbeque Seasoning,Others,g
Barley,"Grain, nuts and baking products",g
Basil,Herbs and spices ,g
Bass,"Meat, sausages and fish",g
Batter,"Grain, nuts and baking products",g
Bay Leaf,Herbs and spices ,g
Bean,Vegetables ,g
Beef,"Meat, sausages and fish",g
Beef Rib,"Meat, sausages and fish",g
Beef Shank,"Meat, sausages and fish",g
Beef Tenderloin,"Meat, sausages and fish",g
Beer,Others,ml
Beet,Vegetables ,g
Bell Pepper,Vegetables ,g
Berry,Fruits,g
Biscuit,"Grain, nuts and baking products",g
Bitters,Others,ml
Black Pepper,Herbs and spices ,g
Blackberry,Fruits,g
Blue Cheese,"Eggs, milk and milk products",g
Blueberry,Fruits,g
Bok Choy,Vegetables ,g
Bourbon,Others,ml
Bran,"Grain, nuts and baking products",g
Brandy,Others,ml
Bread,"Pasta, rice and pulses  ",whole
Brine,Others,ml
Brisket,"Meat, sausages and fish",g
Broccoli,Vegetables ,g
Broccoli Rabe,Vegetables ,g
Brown Rice,"Pasta, rice and pulses ",g
Brown Sugar,"Grain, nuts and baking products",g
Brownie,Others,whole
Brussel Sprout,Vegetables ,g
Bulgur,"Grain, nuts and baking products",g
Butter,Fats and oils,g
Buttermilk,"Eggs, milk and milk products",ml
Butternut Squash,Fruits,g
Cabbage,Vegetables ,g
Cacao,"Grain, nuts and baking products",g
Cajun Seasoning,Others,g
Cake,"Grain, nuts and baking products",whole
Calvados,Others,ml
Campari,Others,ml
Candy,Others,g
Canola Oil,Fats and oils,ml
Cantaloupe,Vegetables ,g
Capers,Herbs and spices ,g
Caramel,"Grain, nuts and baking products",g
Caraway,Herbs and spices ,g
Cardamom,Herbs and spices ,g
Carrot,Vegetables ,g
Cashew,"Grain, nuts and baking products",g
Cauliflower,Vegetables ,g
Celery,Vegetables ,g
Cereal,Others,g
Champagne,Others,ml
Chard,Vegetables ,g
Cheddar,"Eggs, milk and milk products",g
Cheese,"Eggs, milk and milk products",g
Cherry,Fruits,g
Chestnut,"Grain, nuts and baking products",g
Chicken,"Meat, sausages and fish",g
Chicken Broth,Others,ml
Chickpea,"Pasta, rice and pulses  ",g
Chili,Herbs and spices ,g
Chili Pepper,Herbs and spices ,g
Chive,Vegetables ,g
Chocolate,Fats and oils,g
